id;curso;Area_the;setor;turno;grau;forma_evasao;ira;contagem_disciplinas;contagem_reprovacoes;evasao;proprep;
8289;Engenharia Ambiental;LS;Setor de Tecnologia;I;Bacharelado;Formatura;0,7329;79;2;0;0,025316456;0,327963828
22068;Filosofia;AH;Setor de Ciências Humanas;N;ABI;Abandono;0,3674;10;4;1;0,4;0,327996425
79222;Física;ED;Setor de Ciências Exatas;N;Licenciatura;Abandono;0;4;4;1;1;0,32801622
39521;Fisioterapia;CL;Setor de Ciências Biológicas;I;Bacharelado;Abandono;0,7529;176;4;1;0,022727273;0,328021907
64057;Artes Visuais;AH;Setor de Artes, Comunicação e Design;M;Bacharelado;Abandono;0,1415;39;18;1;0,461538462;0,328025094
5081;Engenharia Mecânica;ET;Setor de Tecnologia;N;Bacharelado;Formatura;0,5098;183;36;0;0,196721311;0,32803082
70578;Medicina Veterinária;LS;Setor de Ciências Agrárias;I;Bacharelado;Sem evasão;0,7332;62;0;0;0;0,328044103
8400;Matemática;ED;Setor de Ciências Exatas;N;Licenciatura;Abandono;0,1981;16;12;1;0,75;0,32807107
28206;Engenharia Florestal;LS;Setor de Ciências Agrárias;I;Bacharelado;Formatura;0,6996;110;7;0;0,063636364;0,328088516
72018;Ciências Biológicas;LS;Setor de Ciências Biológicas;M;Bacharelado;Sem evasão;0,1735;25;18;0;0,72;0,328109658
76370;Administração;BE;Setor de Ciências Sociais Aplicadas;N;Bacharelado;Sem evasão;0,7068;28;3;0;0,107142857;0,328119658
53972;Ciências Biológicas;LS;Setor de Ciências Biológicas;M;Bacharelado;Formatura;0,7984;105;0;0;0;0,328149185
20595;Agronomia;LS;Setor de Ciências Agrárias;I;Bacharelado;Abandono;0,2616;46;17;1;0,369565217;0,328149955
14177;Administração;BE;Setor de Ciências Sociais Aplicadas;N;Bacharelado;Formatura;0,8042;59;0;0;0;0,328162363
31259;Nutrição;CL;Setor de Ciências da Saúde;I;Bacharelado;Formatura;0,7719;71;4;0;0,056338028;0,328168675
62632;Artes;ED;Setor Litoral;M;Licenciatura;Sem evasão;0,5821;41;12;0;0,292682927;0,328210793
11038;Geografia;SS;Setor de Ciências da Terra;M;Bacharelado;Formatura;0,8241;51;2;0;0,039215686;0,328211325
31382;Medicina;CL;Setor de Ciências da Saúde;I;Bacharelado;Formatura;0,7885;239;15;0;0,062761506;0,328216638
42994;Administração;BE;Setor de Ciências Sociais Aplicadas;N;Bacharelado;Formatura;0,6802;110;11;0;0,1;0,328217199
41120;Ciência da Computação;CS;Setor de Ciências Exatas;I;Bacharelado;Formatura;0,8767;80;0;0;0;0,328230743
50979;Pedagogia;ED;Setor de Educação;M;Licenciatura;Formatura;0,8937;84;0;0;0;0,328230793
59945;Pedagogia;ED;Setor de Educação;M;Licenciatura;Formatura;0,9054;79;1;0;0,012658228;0,328237254
28025;Engenharia Civil;ET;Setor de Tecnologia;I;Bacharelado;Formatura;0,6943;96;3;0;0,03125;0,328237351
43601;Medicina;CL;Setor de Ciências da Saúde;I;Bacharelado;Abandono;0,5737;120;16;1;0,133333333;0,328242478
40550;Engenharia de Produção;ET;Setor de Tecnologia;I;Bacharelado;Formatura;0,7906;119;4;0;0,033613445;0,32825663
36593;Terapia Ocupacional;PS;Setor de Ciências da Saúde;N;Bacharelado;Formatura;0,8408;59;0;0;0;0,328286327
24493;Medicina Veterinária;LS;Setor de Ciências Agrárias;I;Bacharelado;Sem evasão;0,4823;148;33;0;0,222972973;0,328317656
41535;Matemática;ED;Setor de Ciências Exatas;N;Licenciatura;Formatura;0,9146;49;0;0;0;0,328322879
